C/A,UNIT,DATE,TIME,ENTRIES,EXITS,num_turnstiles_per_group
N062A,R010,07/27/2019,22:00:00,4739,3665,10
R148,R033,02/15/2019,11:00:00,1180,3666,8
N063,R011,08/08/2019,20:00:00,3985,3664,10
N062A,R010,03/14/2019,22:00:00,5658,3663,10
N062A,R010,06/30/2019,22:00:00,4906,3663,10
N062A,R010,08/14/2019,10:00:00,3123,3663,10
R148,R033,08/20/2019,12:00:00,1517,3665,8
R151,R033,09/29/2019,00:00:00,7021,3664,9
N063A,R011,01/02/2019,15:00:00,4934,3661,11
N062,R011,02/21/2019,23:00:00,1718,3662,10
N063A,R011,04/06/2019,16:00:00,4466,3660,12
R145,R032,06/07/2019,16:00:00,2433,3664,8
N062,R011,07/24/2019,16:00:00,1947,3662,10
A021,R032,08/12/2019,16:00:00,2371,3664,8
N063A,R011,02/05/2019,15:00:00,4214,3659,12
N062A,R010,04/13/2019,22:00:00,5010,3661,10
